dataset,experiment,model,backbone,probe,selected_layer_id,selected_slot,selected_layer_label,config_status,best_config_json,lr,weight_decay,batch_size,eval_batch_size,epochs,early_stopping_enabled,early_stopping_patience,feature_view,mlp_hidden_dims,mlp_dropout,temporal_num_heads,temporal_num_self_attn_blocks,temporal_mlp_ratio,temporal_dropout,optuna_enabled,best_trial,n_trials,config_id,config_source,evidence_path,excel_workbook,excel_sheet,excel_range,val_primary_metric,val_accuracy,notes
IntPhys2,ltx,LTX-Video,LTX-13B,Linear,24,34,noise_0.2_block_24,VERIFIED_FULL,"{""batch_size"":64,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":100,""feature_view"":""pooled"",""layer"":24,""lr"":0.008296796921936793,""slot"":34,""weight_decay"":1.7074626001153678e-08}",0.008296796921936793,1.7074626001153678e-08,64,NULL,100,true,5,pooled,NULL,NULL,NULL,NULL,NULL,NULL,false,11,20,intphys2__ltx_video__linear__slot_34,recovered_best_configs.json,output/training/intphys2/linear/intphys2_ltx_linear_layers_22572277.out,intphys_primary_db.xlsx,LTX-Video,N36:X36,45.098,60.294,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,ltx,LTX-Video,LTX-13B,MLP,24,34,noise_0.2_block_24,VERIFIED_FULL,"{""batch_size"":128,""dropout"":0.3854835899772805,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":1000,""feature_view"":""pooled"",""hidden_dims"":[256],""layer"":24,""lr"":0.0020597335357437196,""slot"":34,""weight_decay"":2.781428564375744e-08}",0.0020597335357437196,2.781428564375744e-08,128,NULL,1000,true,5,pooled,[256],0.3854835899772805,NULL,NULL,NULL,NULL,false,4,20,intphys2__ltx_video__mlp__slot_34,recovered_best_configs.json,output/training/intphys2/mlp/intphys2_ltx_mlp_layers_22604093.out,intphys_primary_db.xlsx,LTX-Video,N76:X76,43.137,63.235,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,ltx,LTX-Video,LTX-2B,Attentive,34,NULL,34,VERIFIED_ATTENTIVE_LAYER_LR,"{""layer"":34,""lr"":1e-05,""searched_hparams_only"":true}",1e-5,NULL,NULL,NULL,NULL,NULL,NULL,tokens,NULL,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,current Excel Selected LR,NULL,intphys_primary_db.xlsx,LTX-Video,A83:K83,21.569,51.471,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file | CSV fills the recovered attentive searched choice: selected layer and selected LR
IntPhys2,ltx,LTX-Video,LTX-2B,Linear,14,NULL,noise_0.7_block_14,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,intphys_primary_db.xlsx,LTX-Video,A16:K16,29.412,55.882,no recovered config for the current best row
IntPhys2,ltx,LTX-Video,LTX-2B,MLP,26,NULL,noise_0.4_block_14,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,intphys_primary_db.xlsx,LTX-Video,A59:K59,29.412,56.373,no recovered config for the current best row
IntPhys2,main,V-JEPA,ViT-H/16,Attentive,16,NULL,16,VERIFIED_ATTENTIVE_LAYER_LR,"{""layer"":16,""lr"":1e-05,""searched_hparams_only"":true}",1e-5,NULL,NULL,NULL,NULL,NULL,NULL,tokens,NULL,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,current Excel Selected LR,NULL,intphys_primary_db.xlsx,V-JEPA,N12:X12,66.667,78.922,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file | CSV fills the recovered attentive searched choice: selected layer and selected LR
IntPhys2,main,V-JEPA,ViT-H/16,Linear,24,NULL,Layer 0.75,VERIFIED_FULL,"{""batch_size"":64,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":100,""feature_view"":""pooled"",""layer"":24,""lr"":0.002216476552485099,""slot"":null,""weight_decay"":5.991763284171463e-05}",0.002216476552485099,5.991763284171463e-05,64,NULL,100,true,5,pooled,NULL,NULL,NULL,NULL,NULL,NULL,false,11,20,intphys2__jepa_v1__linear__layer_24,recovered_best_configs.json,output/training/intphys2/linear/intphys2_jepa_v1_linear_layers_22261451.out,intphys_primary_db.xlsx,V-JEPA,N6:X6,49.020,63.235,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,main,V-JEPA,ViT-H/16,MLP,24,NULL,Layer 0.75,VERIFIED_FULL,"{""batch_size"":32,""dropout"":0.15501861355280072,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":100,""feature_view"":""pooled"",""hidden_dims"":[1024],""layer"":24,""lr"":0.000461634686337263,""slot"":null,""weight_decay"":0.0005556378395446794}",0.000461634686337263,0.0005556378395446794,32,NULL,100,true,5,pooled,[1024],0.15501861355280072,NULL,NULL,NULL,NULL,false,15,20,intphys2__jepa_v1__mlp__layer_24,recovered_best_configs.json,jobs/train/intphys2/mlp/output/training/intphys2/mlp/intphys2_jepa_v1_mlp_layers_22594073.out,intphys_primary_db.xlsx,V-JEPA,N10:X10,56.863,63.725,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,main,V-JEPA 2,ViT-G/16,Attentive,40,NULL,40,VERIFIED_ATTENTIVE_LAYER_LR,"{""layer"":40,""lr"":1e-05,""searched_hparams_only"":true}",1e-5,NULL,NULL,NULL,NULL,NULL,NULL,tokens,NULL,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,current Excel Selected LR,NULL,intphys_primary_db.xlsx,V-JEPA 2,N14:X14,64.706,76.961,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file | CSV fills the recovered attentive searched choice: selected layer and selected LR
IntPhys2,main,V-JEPA 2,ViT-G/16,Linear,40,NULL,Final layer,VERIFIED_FULL,"{""batch_size"":64,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":100,""feature_view"":""pooled"",""layer"":40,""lr"":0.008898895461208912,""slot"":null,""weight_decay"":9.309392298120741e-06}",0.008898895461208912,9.309392298120741e-06,64,NULL,100,true,5,pooled,NULL,NULL,NULL,NULL,NULL,NULL,false,12,20,intphys2__jepa_v2__linear__layer_40,recovered_best_configs.json,output/training/intphys2/linear/intphys2_jepa_v2_linear_layers_22349976.out,intphys_primary_db.xlsx,V-JEPA 2,N3:X3,39.216,57.843,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,main,V-JEPA 2,ViT-G/16,MLP,40,NULL,Final layer,VERIFIED_FULL,"{""batch_size"":32,""dropout"":0.21597250932105788,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":2000,""feature_view"":""pooled"",""hidden_dims"":[256],""layer"":40,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",0.0001329291894316216,0.005061576888752304,32,NULL,2000,true,5,pooled,[256],0.21597250932105788,NULL,NULL,NULL,NULL,false,0,20,intphys2__jepa_v2__mlp__layer_40,recovered_best_configs.json,jobs/train/intphys2/mlp/output/training/intphys2/mlp/intphys2_jepa_v2_mlp_layers_22594076.out,intphys_primary_db.xlsx,V-JEPA 2,N7:X7,41.176,64.216,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,main,V-JEPA 2.1,ViT-Gigantic/16,Attentive,48,NULL,48,VERIFIED_ATTENTIVE_LAYER_LR,"{""layer"":48,""lr"":0.0001,""searched_hparams_only"":true}",1e-4,NULL,NULL,NULL,NULL,NULL,NULL,tokens,NULL,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,current Excel Selected LR,NULL,intphys_primary_db.xlsx,V-JEPA 2.1,AN14:AX14,60.784,75.490,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file | CSV fills the recovered attentive searched choice: selected layer and selected LR
IntPhys2,main,V-JEPA 2.1,ViT-Gigantic/16,Linear,38,NULL,Layer 0.75,VERIFIED_FULL,"{""batch_size"":256,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":100,""feature_view"":""pooled"",""layer"":38,""lr"":0.008589902259876388,""slot"":null,""weight_decay"":6.917735117804129e-06}",0.008589902259876388,6.917735117804129e-06,256,NULL,100,true,5,pooled,NULL,NULL,NULL,NULL,NULL,NULL,false,10,20,intphys2__jepa_v2_1__linear__layer_38,recovered_best_configs.json,output/training/intphys2/linear/intphys2_jepa_v2_1_linear_layers_22349978.out,intphys_primary_db.xlsx,V-JEPA 2.1,AN6:AX6,33.333,55.882,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,main,V-JEPA 2.1,ViT-Gigantic/16,MLP,38,NULL,Layer 0.75,VERIFIED_FULL,"{""batch_size"":32,""dropout"":0.21597250932105788,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":2000,""feature_view"":""pooled"",""hidden_dims"":[256],""layer"":38,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",0.0001329291894316216,0.005061576888752304,32,NULL,2000,true,5,pooled,[256],0.21597250932105788,NULL,NULL,NULL,NULL,false,0,20,intphys2__jepa_v2_1__mlp__layer_38,recovered_best_configs.json,jobs/train/intphys2/mlp/output/training/intphys2/mlp/intphys2_jepa_v2_1_mlp_layers_22594074.out,intphys_primary_db.xlsx,V-JEPA 2.1,AN10:AX10,45.098,61.765,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,main,VideoMAE,ViT-H/16,Attentive,24,NULL,24,VERIFIED_ATTENTIVE_LAYER_LR,"{""layer"":24,""lr"":1e-05,""searched_hparams_only"":true}",1e-5,NULL,NULL,NULL,NULL,NULL,NULL,tokens,NULL,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,current Excel Selected LR,NULL,intphys_primary_db.xlsx,VideoMAE,N13:X13,74.510,80.392,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file | CSV fills the recovered attentive searched choice: selected layer and selected LR
IntPhys2,main,VideoMAE,ViT-H/16,Linear,16,NULL,Layer 0.5,VERIFIED_FULL,"{""batch_size"":32,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":2000,""feature_view"":""pooled"",""layer"":16,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",0.0001329291894316216,0.005061576888752304,32,NULL,2000,true,5,pooled,NULL,NULL,NULL,NULL,NULL,NULL,false,0,20,intphys2__videomae__linear__layer_16,recovered_best_configs.json,output/training/intphys2/linear/intphys2_videomae_linear_layers_22261454.out,intphys_primary_db.xlsx,VideoMAE,N5:X5,41.176,60.784,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,main,VideoMAE,ViT-H/16,MLP,24,NULL,Layer 0.75,VERIFIED_FULL,"{""batch_size"":32,""dropout"":0.21597250932105788,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":2000,""feature_view"":""pooled"",""hidden_dims"":[256],""layer"":24,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",0.0001329291894316216,0.005061576888752304,32,NULL,2000,true,5,pooled,[256],0.21597250932105788,NULL,NULL,NULL,NULL,false,0,20,intphys2__videomae__mlp__layer_24,recovered_best_configs.json,jobs/train/intphys2/mlp/output/training/intphys2/mlp/intphys2_videomae_mlp_layers_22594091.out,intphys_primary_db.xlsx,VideoMAE,N10:X10,39.216,64.216,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,main,VideoMAE-v2,ViT-G/16,Attentive,20,NULL,20,VERIFIED_ATTENTIVE_LAYER_LR,"{""layer"":20,""lr"":1e-05,""searched_hparams_only"":true}",1e-5,NULL,NULL,NULL,NULL,NULL,NULL,tokens,NULL,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,current Excel Selected LR,NULL,intphys_primary_db.xlsx,VideoMAE-v2,AA12:AK12,58.824,74.020,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file | CSV fills the recovered attentive searched choice: selected layer and selected LR
IntPhys2,main,VideoMAE-v2,ViT-G/16,Linear,20,NULL,Layer 0.5,VERIFIED_FULL,"{""batch_size"":64,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":2000,""feature_view"":""pooled"",""layer"":20,""lr"":0.009376303675905204,""slot"":null,""weight_decay"":3.0267441672616737e-05}",0.009376303675905204,3.0267441672616737e-05,64,NULL,2000,true,5,pooled,NULL,NULL,NULL,NULL,NULL,NULL,false,16,20,intphys2__videomae_v2__linear__layer_20,recovered_best_configs.json,output/training/intphys2/linear/intphys2_videomae_v2_linear_layers_22261456.out,intphys_primary_db.xlsx,VideoMAE-v2,AA5:AK5,47.059,63.725,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,main,VideoMAE-v2,ViT-G/16,MLP,20,NULL,Layer 0.5,VERIFIED_FULL,"{""batch_size"":32,""dropout"":0.21597250932105788,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":2000,""feature_view"":""pooled"",""hidden_dims"":[256],""layer"":20,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",0.0001329291894316216,0.005061576888752304,32,NULL,2000,true,5,pooled,[256],0.21597250932105788,NULL,NULL,NULL,NULL,false,0,20,intphys2__videomae_v2__mlp__layer_20,recovered_best_configs.json,jobs/train/intphys2/mlp/output/training/intphys2/mlp/intphys2_videomae_v2_mlp_layers_22594085.out,intphys_primary_db.xlsx,VideoMAE-v2,AA9:AK9,41.176,66.176,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,same_L,V-JEPA,ViT-L/16,Attentive,18,NULL,18,VERIFIED_ATTENTIVE_LAYER_LR,"{""layer"":18,""lr"":1e-05,""searched_hparams_only"":true}",1e-5,NULL,NULL,NULL,NULL,NULL,NULL,tokens,NULL,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,current Excel Selected LR,NULL,intphys_primary_db.xlsx,V-JEPA,A13:K13,78.431,84.314,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file | CSV fills the recovered attentive searched choice: selected layer and selected LR
IntPhys2,same_L,V-JEPA,ViT-L/16,Linear,12,NULL,12,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,intphys_primary_db.xlsx,V-JEPA,A4:K4,43.137,61.275,no recovered config for the current best row
IntPhys2,same_L,V-JEPA,ViT-L/16,MLP,18,NULL,18,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,intphys_primary_db.xlsx,V-JEPA,A9:K9,50.980,67.157,no recovered config for the current best row
IntPhys2,same_L,V-JEPA 2,ViT-L/16,Attentive,18,NULL,18,VERIFIED_ATTENTIVE_LAYER_LR,"{""layer"":18,""lr"":1e-05,""searched_hparams_only"":true}",1e-5,NULL,NULL,NULL,NULL,NULL,NULL,tokens,NULL,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,current Excel Selected LR,NULL,intphys_primary_db.xlsx,V-JEPA 2,A13:K13,68.627,80.882,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file | CSV fills the recovered attentive searched choice: selected layer and selected LR
IntPhys2,same_L,V-JEPA 2,ViT-L/16,Linear,18,NULL,18,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,intphys_primary_db.xlsx,V-JEPA 2,A5:K5,45.098,66.176,no recovered config for the current best row
IntPhys2,same_L,V-JEPA 2,ViT-L/16,MLP,18,NULL,18,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,intphys_primary_db.xlsx,V-JEPA 2,A9:K9,45.098,67.647,no recovered config for the current best row
IntPhys2,same_L,V-JEPA 2.1,ViT-L/16,Attentive,24,NULL,24,VERIFIED_ATTENTIVE_LAYER_LR,"{""layer"":24,""lr"":5e-05,""searched_hparams_only"":true}",5e-5,NULL,NULL,NULL,NULL,NULL,NULL,tokens,NULL,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,current Excel Selected LR,NULL,intphys_primary_db.xlsx,V-JEPA 2.1,N14:X14,66.667,76.961,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file | CSV fills the recovered attentive searched choice: selected layer and selected LR
IntPhys2,same_L,V-JEPA 2.1,ViT-L/16,Linear,12,NULL,12,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,intphys_primary_db.xlsx,V-JEPA 2.1,N4:X4,35.294,54.412,no recovered config for the current best row
IntPhys2,same_L,V-JEPA 2.1,ViT-L/16,MLP,12,NULL,12,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,intphys_primary_db.xlsx,V-JEPA 2.1,N8:X8,47.059,63.725,no recovered config for the current best row
IntPhys2,same_L,VideoMAE,ViT-L/16,Attentive,24,NULL,24,VERIFIED_ATTENTIVE_LAYER_LR,"{""layer"":24,""lr"":5e-05,""searched_hparams_only"":true}",5e-5,NULL,NULL,NULL,NULL,NULL,NULL,tokens,NULL,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,current Excel Selected LR,NULL,intphys_primary_db.xlsx,VideoMAE,A14:K14,68.627,78.922,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file | CSV fills the recovered attentive searched choice: selected layer and selected LR
IntPhys2,same_L,VideoMAE,ViT-L/16,Linear,18,NULL,18,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,intphys_primary_db.xlsx,VideoMAE,A5:K5,35.294,56.863,no recovered config for the current best row
IntPhys2,same_L,VideoMAE,ViT-L/16,MLP,18,NULL,18,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,intphys_primary_db.xlsx,VideoMAE,A9:K9,39.216,60.294,no recovered config for the current best row
IntPhys2,same_L,VideoMAE-v2,ViT-L/16,Attentive,18,NULL,18,VERIFIED_ATTENTIVE_LAYER_LR,"{""layer"":18,""lr"":1e-05,""searched_hparams_only"":true}",1e-5,NULL,NULL,NULL,NULL,NULL,NULL,tokens,NULL,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,current Excel Selected LR,NULL,intphys_primary_db.xlsx,VideoMAE-v2,N13:X13,56.863,75.980,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file | CSV fills the recovered attentive searched choice: selected layer and selected LR
IntPhys2,same_L,VideoMAE-v2,ViT-L/16,Linear,18,NULL,18,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,intphys_primary_db.xlsx,VideoMAE-v2,N5:X5,47.059,61.765,no recovered config for the current best row
IntPhys2,same_L,VideoMAE-v2,ViT-L/16,MLP,18,NULL,18,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,intphys_primary_db.xlsx,VideoMAE-v2,N9:X9,47.059,62.745,no recovered config for the current best row
MVP,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,12,NULL,12,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,V-JEPA 2.1,A14:K14,92.113,95.703,no recovered config and no Selected LR in current Excel
MVP,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,12,NULL,12,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,V-JEPA 2.1,A6:K6,44.692,67.644,no recovered config for the current best row
MVP,backbone_sweep,V-JEPA 2.1,ViT-B/16,MLP,12,NULL,12,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,V-JEPA 2.1,A10:K10,72.396,85.187,no recovered config for the current best row
MVP,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,40,NULL,40,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,V-JEPA 2.1,AA14:AK14,93.327,96.107,no recovered config and no Selected LR in current Excel
MVP,backbone_sweep,V-JEPA 2.1,ViT-G/16,Linear,40,NULL,40,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,V-JEPA 2.1,AA6:AK6,50.961,71.436,no recovered config for the current best row
MVP,backbone_sweep,V-JEPA 2.1,ViT-G/16,MLP,30,NULL,30,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,mvp_primary_db.xlsx,V-JEPA 2.1,AA9:AK9,71.183,83.367,no recovered config for the current best row
