config_id,dataset,experiment,model,backbone,probe,layer,n_new_seeds,seeds,old_test_primary_mean,old_test_primary_std,new_test_primary_mean,new_test_primary_std,old_test_accuracy_mean,old_test_accuracy_std,new_test_accuracy_mean,new_test_accuracy_std,seed42_test_primary,new101102_test_primary_mean,new101102_minus_seed42,new_test_primary_values,old_test_primary_values
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_30,IntPhys2,main,V-JEPA 2,ViT-G/16,Attentive,30,3,"42,101,102",52.94,3.40,55.56,1.13,73.04,0.98,75.65,2.04,56.86,54.90,-1.96,"56.86,54.90,54.90","56.86,50.98,50.98"
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_40,IntPhys2,main,V-JEPA 2,ViT-G/16,Attentive,40,2,"42,101",69.61,12.48,71.57,9.71,81.13,2.43,80.15,3.81,78.43,64.71,-13.73,"78.43,64.71,NA","78.43,60.78,NA"
intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_12,IntPhys2,main,V-JEPA 2.1,ViT-Gigantic/16,Attentive,12,3,"42,101,102",20.26,4.08,17.65,5.19,55.39,0.85,56.21,0.28,23.53,14.71,-8.82,"23.53,13.73,15.69","23.53,15.69,21.57"
intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_38,IntPhys2,main,V-JEPA 2.1,ViT-Gigantic/16,Attentive,38,3,"42,101,102",59.48,7.92,58.82,5.19,73.37,3.61,75.49,4.01,54.90,60.78,5.88,"54.90,56.86,64.71","54.90,54.90,68.63"
intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_48,IntPhys2,main,V-JEPA 2.1,ViT-Gigantic/16,Attentive,48,3,"42,101,102",54.90,5.19,58.82,1.96,72.55,0.98,71.73,2.32,60.78,57.84,-2.94,"60.78,56.86,58.82","60.78,52.94,50.98"
intphys2__main__videomae__vit_h_16__temporal_attn__layer_8,IntPhys2,main,VideoMAE,ViT-H/16,Attentive,8,3,"42,101,102",15.69,3.40,18.95,4.93,51.14,0.28,52.12,1.02,13.73,21.57,7.84,"13.73,23.53,19.61","13.73,19.61,13.73"
intphys2__main__videomae__vit_h_16__temporal_attn__layer_16,IntPhys2,main,VideoMAE,ViT-H/16,Attentive,16,3,"42,101,102",55.56,1.13,56.86,3.40,72.39,4.11,70.75,2.79,54.90,57.84,2.94,"54.90,60.78,54.90","54.90,54.90,56.86"
intphys2__main__videomae__vit_h_16__temporal_attn__layer_24,IntPhys2,main,VideoMAE,ViT-H/16,Attentive,24,2,"42,101",75.49,1.39,76.47,0.00,81.13,0.35,82.60,2.43,76.47,76.47,0.00,"76.47,76.47,NA","76.47,74.51,NA"
intphys2__main__videomae__vit_h_16__temporal_attn__layer_32,IntPhys2,main,VideoMAE,ViT-H/16,Attentive,32,3,"42,101,102",41.18,1.96,37.25,3.92,60.62,1.86,60.78,1.30,41.18,35.29,-5.88,"41.18,33.33,37.25","41.18,39.22,43.14"
intphys2__main__videomae_v2__vit_g_16__temporal_attn__layer_10,IntPhys2,main,VideoMAE-v2,ViT-G/16,Attentive,10,3,"42,101,102",25.49,7.07,22.88,3.00,50.98,0.00,52.29,1.23,19.61,24.51,4.90,"19.61,25.49,23.53","19.61,33.33,23.53"
intphys2__main__videomae_v2__vit_g_16__temporal_attn__layer_20,IntPhys2,main,VideoMAE-v2,ViT-G/16,Attentive,20,3,"42,101,102",43.14,16.98,58.82,6.79,58.50,12.21,69.61,4.27,62.75,56.86,-5.88,"62.75,62.75,50.98","62.75,33.33,33.33"
intphys2__main__videomae_v2__vit_g_16__temporal_attn__layer_30,IntPhys2,main,VideoMAE-v2,ViT-G/16,Attentive,30,3,"42,101,102",30.07,7.42,52.94,16.75,50.49,0.98,65.36,12.44,35.29,61.76,26.47,"35.29,68.63,54.90","35.29,21.57,33.33"
intphys2__main__videomae_v2__vit_g_16__temporal_attn__layer_40,IntPhys2,main,VideoMAE-v2,ViT-G/16,Attentive,40,3,"42,101,102",37.25,3.40,41.18,7.84,51.63,1.42,53.59,1.58,41.18,41.18,0.00,"41.18,33.33,49.02","41.18,35.29,35.29"
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_6,IntPhys2,same_L,V-JEPA,ViT-L/16,Attentive,6,3,"42,101,102",13.73,3.40,15.03,1.13,51.31,2.87,50.00,2.25,15.69,14.71,-0.98,"15.69,15.69,13.73","15.69,15.69,9.80"
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_18,IntPhys2,same_L,V-JEPA,ViT-L/16,Attentive,18,2,"42,102",76.47,2.77,74.51,0.00,82.35,1.39,84.80,2.08,74.51,74.51,0.00,"74.51,NA,74.51","74.51,NA,78.43"
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_24,IntPhys2,same_L,V-JEPA,ViT-L/16,Attentive,24,3,"42,101,102",60.13,4.93,58.17,6.30,75.00,8.62,75.33,4.96,60.78,56.86,-3.92,"60.78,50.98,62.75","60.78,54.90,64.71"
intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_6,IntPhys2,same_L,V-JEPA 2,ViT-L/16,Attentive,6,3,"42,101,102",16.34,4.08,20.92,5.99,50.16,2.70,48.69,1.02,19.61,21.57,1.96,"19.61,15.69,27.45","19.61,11.76,17.65"
intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_12,IntPhys2,same_L,V-JEPA 2,ViT-L/16,Attentive,12,3,"42,101,102",53.59,6.30,54.25,7.42,70.59,1.47,71.90,4.08,49.02,56.86,7.84,"49.02,50.98,62.75","49.02,50.98,60.78"
intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_18,IntPhys2,same_L,V-JEPA 2,ViT-L/16,Attentive,18,3,"42,101,102",63.40,6.30,64.71,5.88,77.45,5.12,76.96,5.52,70.59,61.76,-8.82,"70.59,64.71,58.82","70.59,60.78,58.82"
intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_24,IntPhys2,same_L,V-JEPA 2,ViT-L/16,Attentive,24,3,"42,101,102",62.09,3.00,60.78,3.40,72.71,1.72,73.69,3.26,64.71,58.82,-5.88,"64.71,58.82,58.82","64.71,58.82,62.75"
intphys2__same_l__v_jepa_2_1__vit_l_16__temporal_attn__layer_6,IntPhys2,same_L,V-JEPA 2.1,ViT-L/16,Attentive,6,3,"42,101,102",8.50,4.93,9.15,7.42,50.16,0.28,49.67,0.57,3.92,11.76,7.84,"3.92,17.65,5.88","3.92,7.84,13.73"
intphys2__same_l__v_jepa_2_1__vit_l_16__temporal_attn__layer_12,IntPhys2,same_L,V-JEPA 2.1,ViT-L/16,Attentive,12,3,"42,101,102",22.22,7.42,15.03,2.26,50.49,0.00,50.65,0.75,13.73,15.69,1.96,"13.73,13.73,17.65","13.73,27.45,25.49"
intphys2__same_l__v_jepa_2_1__vit_l_16__temporal_attn__layer_18,IntPhys2,same_L,V-JEPA 2.1,ViT-L/16,Attentive,18,2,"42,101",55.88,4.16,54.90,2.77,75.25,1.04,74.51,2.08,52.94,56.86,3.92,"52.94,56.86,NA","52.94,58.82,NA"
intphys2__same_l__v_jepa_2_1__vit_l_16__temporal_attn__layer_24,IntPhys2,same_L,V-JEPA 2.1,ViT-L/16,Attentive,24,2,"42,101",63.73,6.93,67.65,12.48,75.49,4.16,77.70,7.28,58.82,76.47,17.65,"58.82,76.47,NA","58.82,68.63,NA"
intphys2__same_l__videomae__vit_l_16__temporal_attn__layer_6,IntPhys2,same_L,VideoMAE,ViT-L/16,Attentive,6,3,"42,101,102",18.30,3.00,10.46,6.30,51.47,1.30,50.00,2.94,17.65,6.86,-10.78,"17.65,5.88,7.84","17.65,21.57,15.69"
intphys2__same_l__videomae__vit_l_16__temporal_attn__layer_12,IntPhys2,same_L,VideoMAE,ViT-L/16,Attentive,12,3,"42,101,102",9.80,8.99,2.61,4.53,47.71,3.71,48.20,2.70,7.84,0.00,-7.84,"7.84,0.00,0.00","7.84,1.96,19.61"
intphys2__same_l__videomae__vit_l_16__temporal_attn__layer_18,IntPhys2,same_L,VideoMAE,ViT-L/16,Attentive,18,3,"42,101,102",62.09,3.00,60.13,6.30,75.33,2.26,75.65,2.21,62.75,58.82,-3.92,"62.75,64.71,52.94","62.75,64.71,58.82"
intphys2__same_l__videomae__vit_l_16__temporal_attn__layer_24,IntPhys2,same_L,VideoMAE,ViT-L/16,Attentive,24,3,"42,101,102",58.17,11.98,69.93,4.08,67.65,14.96,78.27,2.83,68.63,70.59,1.96,"68.63,74.51,66.67","68.63,45.10,60.78"
intphys2__same_l__videomae_v2__vit_l_16__temporal_attn__layer_6,IntPhys2,same_L,VideoMAE-v2,ViT-L/16,Attentive,6,3,"42,101,102",4.58,3.00,5.88,5.19,49.02,1.47,49.67,0.57,7.84,4.90,-2.94,"7.84,0.00,9.80","7.84,1.96,3.92"
intphys2__same_l__videomae_v2__vit_l_16__temporal_attn__layer_12,IntPhys2,same_L,VideoMAE-v2,ViT-L/16,Attentive,12,3,"42,101,102",34.64,24.98,49.02,3.40,61.60,10.05,66.34,1.02,47.06,50.00,2.94,"47.06,52.94,47.06","47.06,5.88,50.98"
intphys2__same_l__videomae_v2__vit_l_16__temporal_attn__layer_18,IntPhys2,same_L,VideoMAE-v2,ViT-L/16,Attentive,18,3,"42,101,102",56.86,3.40,56.86,1.96,71.24,2.32,70.59,2.25,54.90,57.84,2.94,"54.90,58.82,56.86","54.90,60.78,54.90"
intphys2__same_l__videomae_v2__vit_l_16__temporal_attn__layer_24,IntPhys2,same_L,VideoMAE-v2,ViT-L/16,Attentive,24,3,"42,101,102",25.49,5.88,24.18,6.89,54.58,6.58,56.21,4.17,31.37,20.59,-10.78,"31.37,17.65,23.53","31.37,19.61,25.49"
mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_3,MVP,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,3,2,"42,101",50.51,2.65,50.96,2.00,70.73,0.07,70.37,0.57,52.38,49.54,-2.83,"52.38,49.54,NA","52.38,48.63,NA"
mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_9,MVP,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,9,1,42,84.83,5.58,88.78,NA,91.38,3.61,93.93,NA,88.78,NA,NA,"88.78,NA,NA","88.78,NA,80.89"
mvp__same_l__jepa_v1__vitl16_224__temporal_attn__layer_18,MVP,same_L,V-JEPA,ViT-L/16,Attentive,18,2,"42,102",93.98,0.21,93.43,0.57,96.64,0.25,96.33,0.18,93.83,93.02,-0.81,"93.83,NA,93.02","93.83,NA,94.14"
mvp__same_l__jepa_v2__vitl_256__temporal_attn__layer_6,MVP,same_L,V-JEPA 2,ViT-L/16,Attentive,6,3,"42,101,102",49.65,5.00,53.02,2.59,70.80,1.70,71.12,0.74,52.78,53.13,0.35,"52.78,50.56,55.71","52.78,43.88,52.28"
mvp__same_l__jepa_v2__vitl_256__temporal_attn__layer_12,MVP,same_L,V-JEPA 2,ViT-L/16,Attentive,12,3,"42,101,102",82.27,5.74,84.16,5.11,90.01,3.13,90.90,3.20,86.86,82.81,-4.04,"86.86,87.36,78.26","86.86,84.13,75.83"
mvp__same_l__jepa_v2__vitl_256__temporal_attn__layer_24,MVP,same_L,V-JEPA 2,ViT-L/16,Attentive,24,2,"42,102",93.38,0.79,92.72,0.14,96.33,0.32,96.11,0.00,92.82,92.62,-0.20,"92.82,NA,92.62","92.82,NA,93.93"
mvp__same_l__jepa_v2_1__vitl_384__temporal_attn__layer_6,MVP,same_L,V-JEPA 2.1,ViT-L/16,Attentive,6,3,"42,101,102",23.53,30.22,57.03,3.08,59.25,12.87,75.11,1.19,57.63,56.72,-0.91,"57.63,59.76,53.69","57.63,12.84,0.10"
mvp__same_l__jepa_v2_1__vitl_384__temporal_attn__layer_12,MVP,same_L,V-JEPA 2.1,ViT-L/16,Attentive,12,2,"42,101",82.76,6.22,82.71,6.29,90.42,4.25,90.75,3.79,87.16,78.26,-8.90,"87.16,78.26,NA","87.16,78.36,NA"
mvp__same_l__jepa_v2_1__vitl_384__temporal_attn__layer_18,MVP,same_L,V-JEPA 2.1,ViT-L/16,Attentive,18,3,"42,101,102",74.08,18.95,78.19,15.14,86.72,9.58,87.60,8.61,89.38,72.60,-16.78,"89.38,60.97,84.23","89.38,52.88,79.98"
mvp__same_l__jepa_v2_1__vitl_384__temporal_attn__layer_24,MVP,same_L,V-JEPA 2.1,ViT-L/16,Attentive,24,2,"42,102",92.67,1.36,92.87,1.07,95.80,0.43,95.80,0.43,93.63,92.11,-1.52,"93.63,NA,92.11","93.63,NA,91.71"
mvp__same_l__videomae__vit_large_16_224__temporal_attn__layer_12,MVP,same_L,VideoMAE,ViT-L/16,Attentive,12,3,"42,101,102",74.86,2.93,76.00,2.49,85.46,1.61,86.37,1.30,76.24,75.88,-0.35,"76.24,78.36,73.41","76.24,76.85,71.49"
mvp__same_l__videomae__vit_large_16_224__temporal_attn__layer_18,MVP,same_L,VideoMAE,ViT-L/16,Attentive,18,2,"42,102",86.25,1.57,86.50,1.93,92.52,0.79,92.62,0.93,85.14,87.87,2.73,"85.14,NA,87.87","85.14,NA,87.36"
mvp__same_l__videomae_v2__vit_large_16_224__temporal_attn__layer_12,MVP,same_L,VideoMAE-v2,ViT-L/16,Attentive,12,3,"42,101,102",63.77,11.13,66.60,8.30,78.01,7.32,79.46,6.30,75.94,61.93,-14.00,"75.94,63.80,60.06","75.94,61.27,54.10"
mvp__same_l__videomae_v2__vit_large_16_224__temporal_attn__layer_18,MVP,same_L,VideoMAE-v2,ViT-L/16,Attentive,18,2,"42,101",87.36,0.00,88.47,1.57,93.00,0.04,93.66,0.89,87.36,89.59,2.22,"87.36,89.59,NA","87.36,87.36,NA"
